OK: door_icon (0.1s, 448 bytes)
OK: tx_cointop_01 (0.0s, 2848 bytes)
OK: tx_comberry_01 (0.0s, 87488 bytes)
OK: tx_common_door_02 (0.0s, 21952 bytes)
OK: tx_common_stone_floor (0.0s, 43808 bytes)
OK: tx_common_stone_pillar (0.0s, 11008 bytes)
OK: tx_contain_box_metal_block (0.1s, 2848 bytes)
OK: tx_cork_01 (0.0s, 800 bytes)
OK: tx_crackedplaster00 (0.0s, 43808 bytes)
OK: tx_crock_01 (0.0s, 1472 bytes)
OK: tx_crock_02 (0.0s, 1472 bytes)
OK: tx_crock_04 (0.0s, 1472 bytes)
OK: tx_de_tapestry_03 (0.0s, 174848 bytes)
OK: tx_dirtroad_01 (0.0s, 43808 bytes)
OK: tx_fabric_6th_bedroll (0.0s, 21952 bytes)
OK: tx_fabric_6th_bedroll_01 (0.0s, 11040 bytes)
OK: tx_fabric_tapestry (0.0s, 174848 bytes)
OK: tx_fabric_tapestry_01 (0.0s, 174848 bytes)
OK: tx_fabric_tapestry_02 (0.0s, 174848 bytes)
OK: tx_fabric_tapestry_03 (0.0s, 174848 bytes)
OK: tx_fabric_tapestry_04 (0.0s, 174848 bytes)
OK: tx_firealpha01 (0.0s, 5568 bytes)
OK: tx_firealpha03 (0.0s, 5568 bytes)
OK: tx_firealpha10 (0.0s, 5616 bytes)
OK: tx_fireash00 (0.0s, 5616 bytes)
OK: tx_firespark00 (0.0s, 5568 bytes)
OK: tx_glass_6th_blackblock (0.0s, 800 bytes)
OK: tx_glass_bottle_blue (0.0s, 5568 bytes)
OK: tx_glass_bottle_blue_01 (0.0s, 5568 bytes)
OK: tx_glass_bottle_brown (0.0s, 5568 bytes)
OK: tx_glass_bottle_brown_01 (0.0s, 5568 bytes)
OK: tx_glass_bottle_green (0.0s, 5568 bytes)
OK: tx_glass_bottle_green_01 (0.0s, 5568 bytes)
OK: tx_guar_nail_00 (0.0s, 800 bytes)
OK: tx_hinge_01 (0.0s, 800 bytes)
OK: tx_hinge_02 (0.0s, 800 bytes)
OK: tx_imp_archdoor (0.0s, 21952 bytes)
OK: tx_kelp_01 (0.0s, 2816 bytes)
OK: tx_kelp_02 (0.0s, 800 bytes)
OK: tx_kelp_03 (0.0s, 11040 bytes)
OK: tx_kelp_04 (0.0s, 800 bytes)
OK: tx_keyhole_01 (0.0s, 800 bytes)
OK: tx_keyhole_02 (0.0s, 800 bytes)
OK: tx_kwama_egge_00 (0.0s, 2848 bytes)
OK: tx_limeware_platter (0.0s, 21952 bytes)
OK: tx_limeware_platter_01 (0.0s, 21952 bytes)
OK: tx_limeware_strip_01 (0.0s, 2816 bytes)
OK: tx_metal_brass_plate (0.0s, 11040 bytes)
OK: tx_metal_iron_rusty (0.0s, 87536 bytes)
OK: tx_metal_iron_rusty_01 (0.0s, 2848 bytes)
OK: tx_metal_iron_rusty_strip_01 (0.0s, 768 bytes)
OK: tx_metal_iron_rusty_strip_02 (0.0s, 768 bytes)
OK: tx_metal_pewter_01 (0.0s, 2848 bytes)
OK: tx_metal_pewter_02 (0.0s, 11040 bytes)
OK: tx_metal_pewter_03 (0.0s, 11040 bytes)
OK: tx_metal_pewter_04 (0.0s, 5568 bytes)
OK: tx_metal_rusty_lock (0.0s, 800 bytes)
OK: tx_metal_silver (0.0s, 5568 bytes)
OK: tx_metal_silver_strip_01 (0.0s, 2816 bytes)
OK: tx_metal_silver_strip_02 (0.1s, 1408 bytes)
OK: tx_metal_strip_01 (0.0s, 2816 bytes)
OK: tx_metal_strip_02 (0.0s, 2816 bytes)
OK: tx_misc_lantern_paper_02 (0.0s, 2848 bytes)
OK: tx_misc_lantern_paper_03 (0.0s, 2848 bytes)
OK: tx_plate_blue (0.0s, 2848 bytes)
OK: tx_plate_brown (0.0s, 2848 bytes)
OK: tx_quill (0.0s, 5504 bytes)
OK: tx_redware_strip_01 (0.0s, 1472 bytes)
OK: tx_redware_strip_02 (0.0s, 1472 bytes)
OK: tx_rooftop_01 (0.0s, 5504 bytes)
OK: tx_rope_brown_02 (0.0s, 2848 bytes)
OK: tx_rope_heavy (0.0s, 2816 bytes)
OK: tx_rope_heavy_01 (0.0s, 2816 bytes)
OK: tx_rope_woven_01 (0.0s, 43776 bytes)
OK: tx_ropestrip_01 (0.0s, 2816 bytes)
OK: tx_shack_foundation (0.0s, 43808 bytes)
OK: tx_shack_screen (0.0s, 2848 bytes)
OK: tx_shack_thatch (0.0s, 43808 bytes)
OK: tx_shack_thatch_strip (0.0s, 21888 bytes)
OK: tx_shack_wicker (0.0s, 11040 bytes)
OK: tx_shack_wicker_01 (0.0s, 2816 bytes)
OK: tx_smokealpha00 (0.0s, 5568 bytes)
OK: tx_stone_bluegrey (0.0s, 11040 bytes)
OK: tx_stone_darkgrey_01 (0.0s, 43808 bytes)
OK: tx_stone_plain_01 (0.0s, 11040 bytes)
OK: tx_straw_broom (0.0s, 2848 bytes)
OK: tx_straw_woven (0.0s, 11040 bytes)
OK: tx_strong_brick00 (0.0s, 43808 bytes)
OK: tx_stucco_imp_02 (0.0s, 43808 bytes)
OK: tx_thatch_01 (0.1s, 43808 bytes)
OK: tx_wall_brick_imp_01 (0.0s, 43808 bytes)
OK: tx_wall_plaster_interior (0.0s, 43808 bytes)
OK: tx_wall_stone_01 (0.0s, 43808 bytes)
OK: tx_wall_stuccostone_01 (0.0s, 43808 bytes)
OK: tx_wall_stuccostone_el_01 (0.0s, 5504 bytes)
OK: tx_wall_stuccostone_er_01 (0.0s, 5504 bytes)
OK: tx_wall_workedstone_washed_01 (0.0s, 43808 bytes)
OK: tx_wax_aqua_02 (0.0s, 2848 bytes)
OK: tx_wax_tan_03 (0.0s, 2848 bytes)
OK: tx_wicker_brown_02 (0.0s, 5568 bytes)
OK: tx_wicker_tan (0.0s, 2848 bytes)
OK: tx_window_diamond_01 (0.0s, 5568 bytes)
OK: tx_window_pane (0.0s, 5568 bytes)
OK: tx_wood_barnacle_01 (0.0s, 11040 bytes)
OK: tx_wood_barnacle_02 (0.0s, 11040 bytes)
OK: tx_wood_baseboard_01 (0.0s, 2816 bytes)
OK: tx_wood_brown_box_01 (0.0s, 11040 bytes)
OK: tx_wood_brown_metal (0.0s, 11040 bytes)
OK: tx_wood_brown_posts_02 (0.0s, 11040 bytes)
OK: tx_wood_brown_rings_01 (0.0s, 2848 bytes)
OK: tx_wood_brown_shelf (0.0s, 11040 bytes)
OK: tx_wood_brown_shield (0.0s, 11040 bytes)
OK: tx_wood_brown_strip (0.0s, 768 bytes)
OK: tx_wood_ceilingpanel_02 (0.0s, 11040 bytes)
OK: tx_wood_cherry (0.0s, 11040 bytes)
OK: tx_wood_coatofarms_01 (0.0s, 11040 bytes)
OK: tx_wood_dock_rings (0.0s, 2848 bytes)
OK: tx_wood_docks_01 (0.0s, 21952 bytes)
OK: tx_wood_grey_planks_01 (0.0s, 11040 bytes)
OK: tx_wood_greyplanks (0.0s, 43808 bytes)
OK: tx_wood_interior_plain (0.0s, 11008 bytes)
OK: tx_wood_interior_plain_01 (0.0s, 11008 bytes)
OK: tx_wood_khaki_01 (0.1s, 21952 bytes)
OK: tx_wood_oldwood_rings (0.0s, 2848 bytes)
OK: tx_wood_oldwood_scarred (0.0s, 11040 bytes)
OK: tx_wood_shack_door (0.0s, 21952 bytes)
OK: tx_wood_siding (0.0s, 43808 bytes)
OK: tx_wood_siding_01 (0.0s, 43808 bytes)
OK: tx_wood_tan_rings_01 (0.0s, 2848 bytes)
OK: tx_wood_weathered_rings (0.0s, 2848 bytes)
OK: tx_wood_weathered_rings_01 (0.0s, 2848 bytes)
OK: tx_wood_wethered (0.0s, 11040 bytes)
OK: tx_wood_wormridden (0.0s, 11040 bytes)
OK: tx_wood_wormridden_rings (0.0s, 2848 bytes)
OK: tx_wood_wornfloor_01 (0.0s, 43808 bytes)
OK: tx_woodfloor_brown (0.0s, 43808 bytes)
OK: tx_woodpillar_shadowed (0.0s, 11008 bytes)

==================================================
Conversion complete!
Success: 179
Failed: 0
Total: 179
