texture_name,original_path,original_exists,original_size_bytes,upscaled_path,upscaled_exists,upscaled_size_bytes,mat_exists,mat_path,used_by_mesh_count,used_by_meshes
tx_bc_fern_pod,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fern_pod.dds,True,2848,textures_upscaled\tx_bc_fern_pod.dds,True,22000,True,Materials\morrowind\tx_bc_fern_pod.mat,1,flora_bc_fern_01
tx_bc_fern_stem,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fern_stem.dds,True,2848,textures_upscaled\tx_bc_fern_stem.dds,True,22000,True,Materials\morrowind\tx_bc_fern_stem.mat,5,flora_bc_fern_01; flora_bc_fern_02; flora_bc_fern_03; flora_bc_fern_04; flora_bc_lilypad_02
tx_bc_fungusbottom_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fungusbottom_01.dds,True,11040,textures_upscaled\tx_bc_fungusbottom_01.dds,True,87536,True,Materials\morrowind\tx_bc_fungusbottom_01.mat,2,flora_bc_shelffungus_01; flora_bc_shelffungus_02
tx_bc_fungusbottom_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fungusbottom_02.dds,True,11040,textures_upscaled\tx_bc_fungusbottom_02.dds,True,87536,True,Materials\morrowind\tx_bc_fungusbottom_02.mat,2,flora_bc_shelffungus_03; flora_bc_shelffungus_04
tx_bc_fungustop_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fungustop_01.dds,True,11040,textures_upscaled\tx_bc_fungustop_01.dds,True,87536,True,Materials\morrowind\tx_bc_fungustop_01.mat,2,flora_bc_shelffungus_01; flora_bc_shelffungus_02
tx_bc_fungustop_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_fungustop_02.dds,True,11040,textures_upscaled\tx_bc_fungustop_02.dds,True,87536,True,Materials\morrowind\tx_bc_fungustop_02.mat,2,flora_bc_shelffungus_03; flora_bc_shelffungus_04
tx_bc_grassblade,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_grassblade.dds,True,2816,textures_upscaled\tx_bc_grassblade.dds,True,22032,True,Materials\morrowind\tx_bc_grassblade.mat,2,flora_bc_grass_01; flora_bc_grass_02
tx_bc_leaves_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_leaves_02.dds,True,87488,textures_upscaled\tx_bc_leaves_02.dds,True,349680,True,Materials\morrowind\tx_bc_leaves_02.mat,1,flora_bc_tree_02
tx_bc_lilypad_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_lilypad_02.dds,True,21952,textures_upscaled\tx_bc_lilypad_02.dds,True,87536,True,Materials\morrowind\tx_bc_lilypad_02.mat,1,flora_bc_lilypad_02
tx_bc_moss_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_moss_01.dds,True,43776,textures_upscaled\tx_bc_moss_01.dds,True,174928,True,Materials\morrowind\tx_bc_moss_01.mat,4,flora_bc_tree_02; flora_bc_tree_04; flora_bc_tree_06; flora_bc_tree_08
tx_bc_moss_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_moss_02.dds,True,43776,textures_upscaled\tx_bc_moss_02.dds,True,174928,True,Materials\morrowind\tx_bc_moss_02.mat,4,flora_bc_tree_02; flora_bc_tree_04; flora_bc_tree_06; flora_bc_tree_08
tx_bc_moss_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_moss_03.dds,True,21888,textures_upscaled\tx_bc_moss_03.dds,True,87568,True,Materials\morrowind\tx_bc_moss_03.mat,3,flora_bc_tree_04; flora_bc_tree_06; flora_bc_tree_08
tx_bc_mushroom_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_mushroom_01.dds,True,11040,textures_upscaled\tx_bc_mushroom_01.dds,True,87536,True,Materials\morrowind\tx_bc_mushroom_01.mat,5,flora_bc_mushroom_01; flora_bc_mushroom_02; flora_bc_mushroom_03; flora_bc_mushroom_04; flora_bc_mushroom_05
tx_bc_mushroom_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_mushroom_02.dds,True,2816,textures_upscaled\tx_bc_mushroom_02.dds,True,22032,True,Materials\morrowind\tx_bc_mushroom_02.mat,8,flora_bc_mushroom_01; flora_bc_mushroom_02; flora_bc_mushroom_03; flora_bc_mushroom_04; flora_bc_mushroom_05; flora_bc_mushroom_06; flora_bc_mushroom_07; flora_bc_mushroom_08
tx_bc_mushroom_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_mushroom_03.dds,True,2848,textures_upscaled\tx_bc_mushroom_03.dds,True,22000,True,Materials\morrowind\tx_bc_mushroom_03.mat,8,flora_bc_mushroom_01; flora_bc_mushroom_02; flora_bc_mushroom_03; flora_bc_mushroom_04; flora_bc_mushroom_05; flora_bc_mushroom_06; flora_bc_mushroom_07; flora_bc_mushroom_08
tx_bc_mushroom_04,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_mushroom_04.dds,True,11040,textures_upscaled\tx_bc_mushroom_04.dds,True,87536,True,Materials\morrowind\tx_bc_mushroom_04.mat,3,flora_bc_mushroom_06; flora_bc_mushroom_07; flora_bc_mushroom_08
tx_bc_podplant_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_podplant_01.dds,True,1472,textures_upscaled\tx_bc_podplant_01.dds,True,11088,True,Materials\morrowind\tx_bc_podplant_01.mat,2,flora_bc_podplant_01; flora_bc_podplant_03
tx_bc_podplant_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_podplant_02.dds,True,1472,textures_upscaled\tx_bc_podplant_02.dds,True,11088,True,Materials\morrowind\tx_bc_podplant_02.mat,2,flora_bc_podplant_01; flora_bc_podplant_03
tx_bc_podplant_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_podplant_03.dds,True,5568,textures_upscaled\tx_bc_podplant_03.dds,True,22000,True,Materials\morrowind\tx_bc_podplant_03.mat,1,flora_bc_podplant_03
tx_bc_podplant_04,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_podplant_04.dds,True,768,textures_upscaled\tx_bc_podplant_04.dds,True,5648,True,Materials\morrowind\tx_bc_podplant_04.mat,1,flora_bc_podplant_03
tx_bc_rock_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_rock_03.dds,True,43808,textures_upscaled\tx_bc_rock_03.dds,True,349680,True,Materials\morrowind\tx_bc_rock_03.mat,7,terrain_rock_bc_12; terrain_rock_bc_13; terrain_rock_bc_14; terrain_rock_bc_15; terrain_rock_bc_16; terrain_rock_bc_17; terrain_rock_bc_18
tx_bc_scum,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bc_scum.dds,True,43808,textures_upscaled\tx_bc_scum.dds,True,349680,True,Materials\morrowind\tx_bc_scum.mat,3,terrain_bc_scum_01; terrain_bc_scum_02; terrain_bc_scum_03
tx_bittergreen_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bittergreen_01.dds,True,5568,textures_upscaled\tx_bittergreen_01.dds,True,43856,True,Materials\morrowind\tx_bittergreen_01.mat,1,ingred_comberry_01
tx_border_metal_bronze_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_border_metal_bronze_01.dds,True,2816,textures_upscaled\tx_border_metal_bronze_01.dds,True,22032,True,Materials\morrowind\tx_border_metal_bronze_01.mat,1,furn_crate_lid_01
tx_bottle_09,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bottle_09.dds,True,1472,textures_upscaled\tx_bottle_09.dds,True,11088,True,Materials\morrowind\tx_bottle_09.mat,1,Potion_Cyro_Whiskey_01
tx_bottle_10,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_bottle_10.dds,True,1472,textures_upscaled\tx_bottle_10.dds,True,11088,True,Materials\morrowind\tx_bottle_10.mat,1,potion_cyro_brandy_01
tx_breadloaf_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_breadloaf_01.dds,True,11040,textures_upscaled\tx_breadloaf_01.dds,True,87536,True,Materials\morrowind\tx_breadloaf_01.mat,1,ingred_bread_01
tx_c_t_thief_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_c_t_thief_01.dds,True,174848,textures_upscaled\tx_c_t_thief_01.dds,True,699216,True,Materials\morrowind\tx_c_t_thief_01.mat,1,furn_c_t_theif_01
tx_c_t_warrior_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_c_t_warrior_01.dds,True,174848,textures_upscaled\tx_c_t_warrior_01.dds,True,699216,True,Materials\morrowind\tx_c_t_warrior_01.mat,1,furn_c_t_warrior_01
tx_c_t_wizard_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_c_t_wizard_01.dds,True,174848,textures_upscaled\tx_c_t_wizard_01.dds,True,699216,True,Materials\morrowind\tx_c_t_wizard_01.mat,1,furn_c_t_wizard_01
tx_carvedwood_beam_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_carvedwood_beam_01.dds,True,5504,textures_upscaled\tx_carvedwood_beam_01.dds,True,43920,True,Materials\morrowind\tx_carvedwood_beam_01.mat,8,in_c_djamb_plain_arched; in_c_plain_room_corner; in_c_plain_room_entry; in_c_plain_room_side; in_c_plain_stair_short; in_c_stair_plain_tall_01; in_c_stair_plain_tall_02; in_common_tower_thatch
tx_carvedwood_detail_knots,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_carvedwood_detail_knots.dds,True,5568,textures_upscaled\tx_carvedwood_detail_knots.dds,True,43856,True,Materials\morrowind\tx_carvedwood_detail_knots.mat,9,in_c_djamb_plain_arched; in_c_djamb_plain_square; in_c_plain_3way; in_c_plain_corner; in_c_plain_endcap; in_c_plain_hall_small; in_c_plain_room_corner; in_c_plain_room_side; in_c_wall_plain
tx_coinside_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_coinside_01.dds,True,288,textures_upscaled\tx_coinside_01.dds,True,1520,True,Materials\morrowind\tx_coinside_01.mat,2,Gold_025; Gold_100
tx_cointop_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_cointop_01.dds,True,2848,textures_upscaled\tx_cointop_01.dds,True,22000,True,Materials\morrowind\tx_cointop_01.mat,2,Gold_025; Gold_100
tx_comberry_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_comberry_01.dds,True,87488,textures_upscaled\tx_comberry_01.dds,True,349680,True,Materials\morrowind\tx_comberry_01.mat,1,ingred_comberry_01
tx_common_door_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_common_door_02.dds,True,21952,textures_upscaled\tx_common_door_02.dds,True,174928,True,Materials\morrowind\tx_common_door_02.mat,1,ex_common_door_01
tx_common_stone_floor,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_common_stone_floor.dds,True,43808,textures_upscaled\tx_common_stone_floor.dds,True,349680,True,Materials\morrowind\tx_common_stone_floor.mat,4,in_c_stone_3way; in_c_stone_corner; in_c_stone_endcap; in_c_stone_hall_small
tx_common_stone_pillar,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_common_stone_pillar.dds,True,11008,textures_upscaled\tx_common_stone_pillar.dds,True,87568,True,Materials\morrowind\tx_common_stone_pillar.mat,5,in_c_djamb_stone_arched; in_c_stone_3way; in_c_stone_corner; in_c_stone_endcap; in_c_stone_hall_small
tx_contain_box_metal_block,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_contain_box_metal_block.dds,True,2848,textures_upscaled\tx_contain_box_metal_block.dds,True,22000,True,Materials\morrowind\tx_contain_box_metal_block.mat,1,ex_common_chimney_tall
tx_cork_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_cork_01.dds,True,800,textures_upscaled\tx_cork_01.dds,True,5616,True,Materials\morrowind\tx_cork_01.mat,10,Misc_Com_Bottle_04; Misc_Com_Bottle_08; Misc_Com_Bottle_14; Potion_Local_Brew_01; misc_com_bottle_03; misc_com_bottle_05; misc_com_bottle_07; misc_com_bottle_10; misc_com_bottle_12; misc_com_bottle_15
tx_crackedplaster00,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_crackedplaster00.dds,True,43808,textures_upscaled\tx_crackedplaster00.dds,True,349680,True,Materials\morrowind\tx_crackedplaster00.mat,1,furn_firepit00
tx_crock_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_crock_01.dds,True,1472,textures_upscaled\tx_crock_01.dds,True,11088,True,Materials\morrowind\tx_crock_01.mat,1,Potion_Local_Brew_01
tx_crock_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_crock_02.dds,True,1472,textures_upscaled\tx_crock_02.dds,True,11088,True,Materials\morrowind\tx_crock_02.mat,1,potion_local_liquor_01
tx_crock_04,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_crock_04.dds,True,1472,textures_upscaled\tx_crock_04.dds,True,11088,True,Materials\morrowind\tx_crock_04.mat,1,potion_comberry_brandy_01
tx_de_tapestry_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_de_tapestry_03.dds,True,174848,textures_upscaled\tx_de_tapestry_03.dds,True,699216,True,Materials\morrowind\tx_de_tapestry_03.mat,1,furn_de_tapestry_03
tx_dirtroad_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_dirtroad_01.dds,True,43808,textures_upscaled\tx_dirtroad_01.dds,True,349680,True,Materials\morrowind\tx_dirtroad_01.mat,2,in_de_shack_02; in_de_shack_03
tx_fabric_6th_bedroll,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fabric_6th_bedroll.dds,True,21952,textures_upscaled\tx_fabric_6th_bedroll.dds,True,174928,True,Materials\morrowind\tx_fabric_6th_bedroll.mat,1,active_de_bedroll
tx_fabric_6th_bedroll_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fabric_6th_bedroll_01.dds,True,11040,textures_upscaled\tx_fabric_6th_bedroll_01.dds,True,87536,True,Materials\morrowind\tx_fabric_6th_bedroll_01.mat,1,active_de_bedroll
tx_fabric_tapestry,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fabric_tapestry.dds,True,174848,textures_upscaled\tx_fabric_tapestry.dds,True,699216,True,Materials\morrowind\tx_fabric_tapestry.mat,1,furn_com_tapestry_01
tx_fabric_tapestry_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fabric_tapestry_01.dds,True,174848,textures_upscaled\tx_fabric_tapestry_01.dds,True,699216,True,Materials\morrowind\tx_fabric_tapestry_01.mat,1,furn_com_tapestry_02
tx_fabric_tapestry_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fabric_tapestry_02.dds,True,174848,textures_upscaled\tx_fabric_tapestry_02.dds,True,699216,True,Materials\morrowind\tx_fabric_tapestry_02.mat,1,furn_com_tapestry_05
tx_fabric_tapestry_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fabric_tapestry_03.dds,True,174848,textures_upscaled\tx_fabric_tapestry_03.dds,True,699216,True,Materials\morrowind\tx_fabric_tapestry_03.mat,1,furn_com_tapestry_03
tx_fabric_tapestry_04,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fabric_tapestry_04.dds,True,174848,textures_upscaled\tx_fabric_tapestry_04.dds,True,699216,True,Materials\morrowind\tx_fabric_tapestry_04.mat,1,furn_com_tapestry_04
tx_firealpha01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_firealpha01.dds,True,5568,textures_upscaled\tx_firealpha01.dds,True,22000,True,Materials\morrowind\tx_firealpha01.mat,10,Light_Com_Candle_01; light_com_candle_05; light_com_candle_07; light_com_chandelier_01; light_com_chandelier_03; light_com_lamp_01; light_com_lamp_02; light_com_lantern_02; light_com_sconce_01; light_com_sconce_02
tx_firealpha03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_firealpha03.dds,True,5568,textures_upscaled\tx_firealpha03.dds,True,22000,True,Materials\morrowind\tx_firealpha03.mat,2,Light_Com_Candle_11; Light_Com_Candle_12
tx_firealpha10,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_firealpha10.dds,True,4224,textures_upscaled\tx_firealpha10.dds,True,22000,True,Materials\morrowind\tx_firealpha10.mat,4,Light_Fire; Light_Fire_NoSmoke; light_com_torch_01; light_logpile10
tx_fireash00,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_fireash00.dds,True,4224,textures_upscaled\tx_fireash00.dds,True,22000,True,Materials\morrowind\tx_fireash00.mat,2,Light_Fire; Light_Fire_NoSmoke
tx_firespark00,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_firespark00.dds,True,5568,textures_upscaled\tx_firespark00.dds,True,22000,True,Materials\morrowind\tx_firespark00.mat,3,Light_Fire; Light_Fire_NoSmoke; light_logpile10
tx_glass_6th_blackblock,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_glass_6th_blackblock.dds,True,800,textures_upscaled\tx_glass_6th_blackblock.dds,True,5616,True,Materials\morrowind\tx_glass_6th_blackblock.mat,1,Misc_Inkwell
tx_glass_bottle_blue,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_glass_bottle_blue.dds,True,5568,textures_upscaled\tx_glass_bottle_blue.dds,True,43856,True,Materials\morrowind\tx_glass_bottle_blue.mat,5,misc_com_bottle_01; misc_com_bottle_05; misc_com_bottle_06; misc_com_bottle_07; misc_com_bottle_10
tx_glass_bottle_blue_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_glass_bottle_blue_01.dds,True,5568,textures_upscaled\tx_glass_bottle_blue_01.dds,True,43856,True,Materials\morrowind\tx_glass_bottle_blue_01.mat,5,misc_com_bottle_01; misc_com_bottle_05; misc_com_bottle_06; misc_com_bottle_07; misc_com_bottle_10
tx_glass_bottle_brown,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_glass_bottle_brown.dds,True,5568,textures_upscaled\tx_glass_bottle_brown.dds,True,43856,True,Materials\morrowind\tx_glass_bottle_brown.mat,4,Misc_Com_Bottle_14; misc_com_bottle_11; misc_com_bottle_12; misc_com_bottle_15
tx_glass_bottle_brown_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_glass_bottle_brown_01.dds,True,5568,textures_upscaled\tx_glass_bottle_brown_01.dds,True,43856,True,Materials\morrowind\tx_glass_bottle_brown_01.mat,4,Misc_Com_Bottle_14; misc_com_bottle_11; misc_com_bottle_12; misc_com_bottle_15
tx_glass_bottle_green,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_glass_bottle_green.dds,True,5568,textures_upscaled\tx_glass_bottle_green.dds,True,43856,True,Materials\morrowind\tx_glass_bottle_green.mat,5,Misc_Com_Bottle_04; Misc_Com_Bottle_08; misc_com_bottle_02; misc_com_bottle_03; misc_com_bottle_09
tx_glass_bottle_green_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_glass_bottle_green_01.dds,True,5568,textures_upscaled\tx_glass_bottle_green_01.dds,True,43856,True,Materials\morrowind\tx_glass_bottle_green_01.mat,5,Misc_Com_Bottle_04; Misc_Com_Bottle_08; misc_com_bottle_02; misc_com_bottle_03; misc_com_bottle_09
tx_guar_nail_00,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_guar_nail_00.dds,True,800,textures_upscaled\tx_guar_nail_00.dds,True,5616,True,Materials\morrowind\tx_guar_nail_00.mat,1,furn_hook_01
tx_hinge_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_hinge_01.dds,True,800,textures_upscaled\tx_hinge_01.dds,True,5616,True,Materials\morrowind\tx_hinge_01.mat,3,ex_nord_door_01; ex_nord_win_01; ex_nord_win_02
tx_hinge_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_hinge_02.dds,True,800,textures_upscaled\tx_hinge_02.dds,True,5616,True,Materials\morrowind\tx_hinge_02.mat,3,Ex_De_SN_Gate; Light_Com_Candle_11; light_com_candle_07
tx_imp_archdoor,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_imp_archdoor.dds,True,21952,textures_upscaled\tx_imp_archdoor.dds,True,174928,True,Materials\morrowind\tx_imp_archdoor.mat,1,in_c_door_arched
tx_kelp_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_kelp_01.dds,True,2816,textures_upscaled\tx_kelp_01.dds,True,22032,True,Materials\morrowind\tx_kelp_01.mat,2,Flora_kelp_01; Flora_kelp_02
tx_kelp_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_kelp_02.dds,True,800,textures_upscaled\tx_kelp_02.dds,True,5616,True,Materials\morrowind\tx_kelp_02.mat,4,Flora_kelp_01; Flora_kelp_02; Flora_kelp_03; Flora_kelp_04
tx_kelp_03,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_kelp_03.dds,True,11040,textures_upscaled\tx_kelp_03.dds,True,87536,True,Materials\morrowind\tx_kelp_03.mat,2,Flora_kelp_03; Flora_kelp_04
tx_kelp_04,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_kelp_04.dds,True,800,textures_upscaled\tx_kelp_04.dds,True,5616,True,Materials\morrowind\tx_kelp_04.mat,2,Flora_kelp_03; Flora_kelp_04
tx_keyhole_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_keyhole_01.dds,True,800,textures_upscaled\tx_keyhole_01.dds,True,5616,True,Materials\morrowind\tx_keyhole_01.mat,2,ex_common_door_01; ex_common_door_balcony
tx_keyhole_02,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_keyhole_02.dds,True,800,textures_upscaled\tx_keyhole_02.dds,True,5616,True,Materials\morrowind\tx_keyhole_02.mat,1,in_c_door_arched
tx_kwama_egge_00,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_kwama_egge_00.dds,True,2848,textures_upscaled\tx_kwama_egge_00.dds,True,22000,True,Materials\morrowind\tx_kwama_egge_00.mat,1,food_kwama_egg_02
tx_limeware_platter,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_limeware_platter.dds,True,21952,textures_upscaled\tx_limeware_platter.dds,True,174928,True,Materials\morrowind\tx_limeware_platter.mat,1,misc_lw_platter
tx_limeware_platter_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_limeware_platter_01.dds,True,21952,textures_upscaled\tx_limeware_platter_01.dds,True,174928,True,Materials\morrowind\tx_limeware_platter_01.mat,1,misc_lw_platter
tx_limeware_strip_01,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_limeware_strip_01.dds,True,2816,textures_upscaled\tx_limeware_strip_01.dds,True,22032,True,Materials\morrowind\tx_limeware_strip_01.mat,1,misc_lw_platter
tx_metal_brass_plate,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_metal_brass_plate.dds,True,11040,textures_upscaled\tx_metal_brass_plate.dds,True,87536,True,Materials\morrowind\tx_metal_brass_plate.mat,1,misc_com_metal_plate_07
tx_metal_iron_rusty,C:\Users\max\Projects\Morrowind\raw_assets\Morrowind_Full\textures\tx_metal_iron_rusty.dds,True,87536,textures_upscaled\tx_metal_iron_rusty.dds,True,349680,True,Materials\morrowind\tx_metal_iron_rusty.mat,11,Ex_De_Shack_Door; Furn_Com_Kegstand; Light_Com_Candle_01; furn_com_cauldron_01; furn_com_cauldron_02; in_de_shack_door; light_com_chandelier_01; light_com_chandelier_03; light_com_lamp_01; light_com_lamp_02
